Samples,barcode02_kr2_output,barcode02_kr2_output,barcode02_kr2_output,Details,Details
Stats,count,unassigned,score,Rank,Name
Id,,,,,
1,4287,0,326.89923023093064,no_rank,root
2,4287,0,326.89923023093064,superkingdom,Bacteria
1783272,4287,0,326.89923023093064,no_rank,Terrabacteria group
201174,4287,0,326.89923023093064,phylum,Actinobacteria
1760,4287,0,326.89923023093064,class,Actinomycetia
85004,4287,0,326.89923023093064,order,Bifidobacteriales
31953,4287,0,326.89923023093064,family,Bifidobacteriaceae
1678,4287,0,326.89923023093064,genus,Bifidobacterium
28025,4287,2565,326.89923023093064,species,Bifidobacterium animalis
302911,464,142,41.8125,subspecies,Bifidobacterium animalis subsp. lactis
442563,12,12,42.166666666666664,strain,Bifidobacterium animalis subsp. lactis AD011
552531,13,13,39.0,strain,Bifidobacterium animalis subsp. lactis BB-12
555970,4,4,39.5,strain,Bifidobacterium animalis subsp. lactis DSM 10140
573236,6,6,40.5,strain,Bifidobacterium animalis subsp. lactis V9
1167629,194,194,39.97422680412371,strain,Bifidobacterium animalis subsp. lactis ATCC 27673
1168290,9,9,39.888888888888886,strain,Bifidobacterium animalis subsp. lactis B420
1316911,84,84,46.45238095238095,strain,Bifidobacterium animalis subsp. lactis KLDS2.0603
302912,1258,935,40.05723370429253,subspecies,Bifidobacterium animalis subsp. animalis
703613,323,323,39.06811145510836,strain,Bifidobacterium animalis subsp. animalis ATCC 25527
