Samples,barcode34_kr2_output,barcode34_kr2_output,barcode34_kr2_output,Details,Details
Stats,count,unassigned,score,Rank,Name
Id,,,,,
1,4249,0,323.3986820428336,no_rank,root
2,4249,0,323.3986820428336,superkingdom,Bacteria
1783272,4249,0,323.3986820428336,no_rank,Terrabacteria group
201174,4249,0,323.3986820428336,phylum,Actinobacteria
1760,4249,0,323.3986820428336,class,Actinomycetia
85004,4249,0,323.3986820428336,order,Bifidobacteriales
31953,4249,0,323.3986820428336,family,Bifidobacteriaceae
1678,4249,1,323.3986820428336,genus,Bifidobacterium
28025,4248,2244,323.46162900188324,species,Bifidobacterium animalis
302911,529,153,42.34026465028355,subspecies,Bifidobacterium animalis subsp. lactis
442563,19,19,40.578947368421055,strain,Bifidobacterium animalis subsp. lactis AD011
552531,10,10,39.6,strain,Bifidobacterium animalis subsp. lactis BB-12
555970,7,7,44.57142857142857,strain,Bifidobacterium animalis subsp. lactis DSM 10140
573236,7,7,41.714285714285715,strain,Bifidobacterium animalis subsp. lactis V9
1042403,6,6,38.166666666666664,strain,Bifidobacterium animalis subsp. lactis CNCM I-2494
1167629,232,232,40.19396551724138,strain,Bifidobacterium animalis subsp. lactis ATCC 27673
1168290,11,11,40.54545454545455,strain,Bifidobacterium animalis subsp. lactis B420
1281781,6,6,41.666666666666664,strain,Bifidobacterium animalis subsp. lactis Bl12
1316911,78,78,49.48717948717949,strain,Bifidobacterium animalis subsp. lactis KLDS2.0603
302912,1475,1054,40.31457627118644,subspecies,Bifidobacterium animalis subsp. animalis
703613,421,421,39.451306413301666,strain,Bifidobacterium animalis subsp. animalis ATCC 25527
