Samples,/xavier_ssd/minknow/Barcoded_data_run/Results/barcode05_output,/xavier_ssd/minknow/Barcoded_data_run/Results/barcode05_output,/xavier_ssd/minknow/Barcoded_data_run/Results/barcode05_output,Details,Details
Stats,count,unassigned,score,Rank,Name
Id,,,,,
1,12154,37,137.94791838078004,no_rank,root
2,12117,11,138.0766691425271,superkingdom,Bacteria
1783272,12106,4,138.16619857921697,no_rank,Terrabacteria group
1239,12102,5,138.19988431664194,phylum,Firmicutes
91061,12097,7,138.23948086302394,class,Bacilli
186826,12090,7,138.29602977667497,order,Lactobacillales
33958,12083,24,138.35256144997106,family,Lactobacillaceae
1578,12003,272,138.1643755727735,genus,Lactobacillus
1579,26,26,538.7307692307693,species,Lactobacillus acidophilus
1596,11274,11148,140.39089941458224,species,Lactobacillus gasseri
324831,28,28,60.642857142857146,strain,Lactobacillus gasseri ATCC 33323 = JCM 1131
1380360,98,98,78.0,strain,Lactobacillus gasseri DSM 14869
33959,431,408,106.20649651972158,species,Lactobacillus johnsonii
257314,23,23,78.95652173913044,strain,Lactobacillus johnsonii NCC 533
2742598,46,0,86.6086956521739,genus,Limosilactobacillus
1598,4,4,55.5,species,Limosilactobacillus reuteri
1613,42,42,89.57142857142857,species,Limosilactobacillus fermentum
2759736,10,0,719.0,genus,Lacticaseibacillus
47715,10,10,719.0,species,Lacticaseibacillus rhamnosus
