Samples,/xavier_ssd/minknow/Barcoded_data_run/Results/barcode04_output,/xavier_ssd/minknow/Barcoded_data_run/Results/barcode04_output,/xavier_ssd/minknow/Barcoded_data_run/Results/barcode04_output,Details,Details
Stats,count,unassigned,score,Rank,Name
Id,,,,,
1,31169,32,422.3984407584458,no_rank,root
2,31137,9,422.7222596910427,superkingdom,Bacteria
1783272,31128,3,422.83214469288095,no_rank,Terrabacteria group
1239,31125,0,422.8695261044176,phylum,Firmicutes
91061,31125,9,422.8695261044176,class,Bacilli
1385,13,0,71.84615384615384,order,Bacillales
186817,13,0,71.84615384615384,family,Bacillaceae
1386,13,0,71.84615384615384,genus,Bacillus
86661,13,8,71.84615384615384,species_group,Bacillus cereus group
1396,5,5,74.4,species,Bacillus cereus
186826,31103,580,423.1275118155804,order,Lactobacillales
33958,30523,3677,429.9576385021131,family,Lactobacillaceae
1253,511,2,89.30528375733856,genus,Pediococcus
114090,509,509,89.47151277013752,species,Pediococcus inopinatus
1578,5178,5154,181.82541521823094,genus,Lactobacillus
1579,20,20,854.1,species,Lactobacillus acidophilus
1596,4,4,161.75,species,Lactobacillus gasseri
46255,5,0,55.0,genus,Weissella
1631871,5,5,55.0,species,Weissella jogaejeotgali
2742598,10,0,51.4,genus,Limosilactobacillus
1613,10,4,51.4,species,Limosilactobacillus fermentum
1381124,6,6,51.166666666666664,strain,Lactobacillus fermentum 3872
2759736,16,0,687.375,genus,Lacticaseibacillus
47715,16,16,687.375,species,Lacticaseibacillus rhamnosus
2767842,477,0,347.19287211740044,genus,Lactiplantibacillus
1589,135,135,89.15555555555555,species,Lactiplantibacillus pentosus
1590,342,342,449.0497076023392,species,Lactiplantibacillus plantarum
2767879,4,4,396.75,genus,Companilactobacillus
2767885,7,1,62.285714285714285,genus,Latilactobacillus
28038,6,6,64.5,species,Latilactobacillus curvatus
2767886,20616,0,560.0030558789289,genus,Levilactobacillus
1580,20616,19082,560.0030558789289,species,Levilactobacillus brevis
387344,4,4,69.0,strain,Lactobacillus brevis ATCC 367
1001583,1530,1530,331.75751633986926,strain,Lactobacillus brevis KB290
2767889,7,0,65.0,genus,Loigolactobacillus
375175,7,7,65.0,species,Loigolactobacillus backii
2767892,9,0,70.77777777777777,genus,Secundilactobacillus
240427,9,9,70.77777777777777,species,Secundilactobacillus paracollinoides
2767893,6,6,62.0,genus,Lentilactobacillus
