Samples,barcode90_kr2_output,barcode90_kr2_output,barcode90_kr2_output,Details,Details
Stats,count,unassigned,score,Rank,Name
Id,,,,,
1,4056,0,340.87919132149904,no_rank,root
2,4056,1,340.87919132149904,superkingdom,Bacteria
1783272,4055,0,340.9489519112207,no_rank,Terrabacteria group
201174,4055,0,340.9489519112207,phylum,Actinobacteria
1760,4055,0,340.9489519112207,class,Actinomycetia
85004,4055,0,340.9489519112207,order,Bifidobacteriales
31953,4055,0,340.9489519112207,family,Bifidobacteriaceae
1678,4055,0,340.9489519112207,genus,Bifidobacterium
28025,4055,2378,340.9489519112207,species,Bifidobacterium animalis
302911,461,107,42.286334056399134,subspecies,Bifidobacterium animalis subsp. lactis
442563,16,16,40.625,strain,Bifidobacterium animalis subsp. lactis AD011
552531,11,11,38.27272727272727,strain,Bifidobacterium animalis subsp. lactis BB-12
555970,4,4,43.5,strain,Bifidobacterium animalis subsp. lactis DSM 10140
573236,4,4,42.5,strain,Bifidobacterium animalis subsp. lactis V9
1042403,4,4,39.0,strain,Bifidobacterium animalis subsp. lactis CNCM I-2494
1167629,204,204,40.23039215686274,strain,Bifidobacterium animalis subsp. lactis ATCC 27673
1168290,10,10,41.0,strain,Bifidobacterium animalis subsp. lactis B420
1281781,10,10,40.6,strain,Bifidobacterium animalis subsp. lactis Bl12
1316911,91,91,48.252747252747255,strain,Bifidobacterium animalis subsp. lactis KLDS2.0603
302912,1216,867,40.13651315789474,subspecies,Bifidobacterium animalis subsp. animalis
703613,349,349,39.117478510028654,strain,Bifidobacterium animalis subsp. animalis ATCC 25527
