Samples,barcode50_output,barcode50_output,barcode50_output,Details,Details
Stats,count,unassigned,score,Rank,Name
Id,,,,,
1,4230,1,902.5314420803783,no_rank,root
2,4229,1,902.7353984393474,superkingdom,Bacteria
1783272,4228,0,902.9214758751183,no_rank,Terrabacteria group
201174,4228,0,902.9214758751183,phylum,Actinobacteria
1760,4228,0,902.9214758751183,class,Actinomycetia
85004,4228,0,902.9214758751183,order,Bifidobacteriales
31953,4228,1,902.9214758751183,family,Bifidobacteriaceae
1678,4227,6,903.1246747101964,genus,Bifidobacterium
28025,4221,4221,904.3120113717129,species,Bifidobacterium animalis
