Samples,barcode02_output,barcode02_output,barcode02_output,Details,Details
Stats,count,unassigned,score,Rank,Name
Id,,,,,
1,4280,0,823.9906542056075,no_rank,root
2,4280,1,823.9906542056075,superkingdom,Bacteria
1783272,4279,0,824.1750408974059,no_rank,Terrabacteria group
201174,4279,0,824.1750408974059,phylum,Actinobacteria
1760,4279,0,824.1750408974059,class,Actinomycetia
85004,4279,0,824.1750408974059,order,Bifidobacteriales
31953,4279,0,824.1750408974059,family,Bifidobacteriaceae
1678,4279,10,824.1750408974059,genus,Bifidobacterium
28025,4269,4269,825.9039587725463,species,Bifidobacterium animalis
