Samples,barcode26_output,barcode26_output,barcode26_output,Details,Details
Stats,count,unassigned,score,Rank,Name
Id,,,,,
1,4899,0,764.5846091038987,no_rank,root
2,4899,0,764.5846091038987,superkingdom,Bacteria
1783272,4899,0,764.5846091038987,no_rank,Terrabacteria group
201174,4899,0,764.5846091038987,phylum,Actinobacteria
1760,4899,1,764.5846091038987,class,Actinomycetia
85004,4898,0,764.7333605553287,order,Bifidobacteriales
31953,4898,1,764.7333605553287,family,Bifidobacteriaceae
1678,4897,6,764.8813559322034,genus,Bifidobacterium
28025,4891,4891,765.7456552852177,species,Bifidobacterium animalis
