Samples,barcode82_output,barcode82_output,barcode82_output,Details,Details
Stats,count,unassigned,score,Rank,Name
Id,,,,,
1,2897,1,904.1149464963755,no_rank,root
2,2896,0,904.4116022099447,superkingdom,Bacteria
1783272,2896,0,904.4116022099447,no_rank,Terrabacteria group
201174,2896,0,904.4116022099447,phylum,Actinobacteria
1760,2896,0,904.4116022099447,class,Actinomycetia
85004,2896,0,904.4116022099447,order,Bifidobacteriales
31953,2896,0,904.4116022099447,family,Bifidobacteriaceae
1678,2896,5,904.4116022099447,genus,Bifidobacterium
28025,2891,2891,905.8803182289865,species,Bifidobacterium animalis
